Name	S2D SOPHIE	SNR co-added SOPHIE
HD218168	4	106.3
HD218059	8	183.2
HD218209	49	512.7
HD218133	2	37.4
HD218261	116	984.0
HD218738	12	294.0
HD218730	1	103.9
HD218949	11	336.9
HD219396	3	187.9
HD219172	2	65.4
HD219306	5	173.7
HD219497	3	305.0
HD219538	2	81.5
HD219828	22	333.3
HD220140	17	388.5
HD220008	8	130.7
HD220182	1	63.6
HD220221	26	245.6
HD220255	7	165.8
HD220339	2	61.3
HD220721	32	284.6
HD220773	34	535.8
HD220842	100	492.2
HD221167	8	149.6
HD221354	93	415.5
HD221356	1	89.6
HD221477	6	129.9
HD221573	8	138.9
HD221627	3	121.3
